collections.title,collections.description,accessRights,data_owner,description,title,titleAbr,language,issued,modified,publisher,publisherAbr,landingPage,downloadURL,contactPoint,identifier,data_type,study_type,study_subtype,topic,keyword,division,citation_requirements,gYearMonth,gYear,accrualPeriodicity,LocationType,idCountry,idSubregion,datadescription:dictionary,sampledesign,representativeness,sampling_procedure,weighting,txtpanel,txtRound,txtCoverage,intHogs,intPers,lnkQuest,lnkManual,lnkOther,lnkAll,lnkMerged,lnkOriginal,InkHarmonized
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2004,Semestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,26625,93075,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\s1\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/s1,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\s1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/s1/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2004,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,27303,94663,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\s2\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/s2,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\s2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/s2/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2004,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t1,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\t1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t1/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2004,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t2,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\t2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t2/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2004,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t3,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\t3\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t3/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2004,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2004\t4\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2004/t4/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2005,Semestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,27108,93850,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\s1\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/s1,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\s1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/s1/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2005,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,27511,94740,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\s2\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/s2,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\s2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/s2/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2005,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2012/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\t1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/t1/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2005,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/t2,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\t2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/t2/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2005,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/t3,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\t3\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/t3/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2005,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2005\t4\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2005/t4/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2006,Semestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,27277,93558,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\s1\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/s1,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\s1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/s1/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2006,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,37521,129410,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\s2\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/s2,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\s2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/s2/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2006,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t1,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\t1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t1/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2006,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t2,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\t2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t2/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2006,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t3,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\t3\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t3/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2006,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2006\t4\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2006/t4/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2007,Semestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,36886,126673,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\s1\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/s1,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\s1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/s1/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2007,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\s2\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/s2,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\s2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/s2/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2007,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t1,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\t1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t1/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2007,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t2,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\t2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t2/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2007,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t3,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\t3\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t3/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2007,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,17891,61760,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\t4\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t4/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2007,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2007\t4\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2007/t4/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2008,Semestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,36347,123597,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\s1\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/s1,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\s1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/s1/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2008,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,36543,124222,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\s2\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/s2,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\s2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/s2/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2008,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t1,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\t1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t1/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2008,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t2,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\t2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t2/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2008,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t3,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\t3\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t3/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2008,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2008\t4\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2008/t4/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2009,Semestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,35722,120325,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2009\s1\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2009/s1,\\Sdssrv03\surveys\survey\ARG\EPHC\2009\s1\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2009/s1/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2009,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,35995,120642,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2009\s2\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2009/s2,\\Sdssrv03\surveys\survey\ARG\EPHC\2009\s2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2009/s2/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
